"","Model","InOutSample","Location","Denomination","fh","MAPE"
"212","ARIMA","Out Sample","Surabaya","K50000",11,63.2512035478905
"213","ARIMA","Out Sample","Surabaya","K50000",12,59.0010250269761
"214","ARIMA","Out Sample","Surabaya","K50000",13,55.1466442666643
"215","ARIMA","Out Sample","Surabaya","K50000",14,53.6503209032258
"216","ARIMA","Out Sample","Surabaya","K50000",15,59.3533360674555
"217","ARIMA","Out Sample","Surabaya","K50000",16,55.9672490939494
"218","ARIMA","Out Sample","Surabaya","K50000",17,54.8537279124503
"219","ARIMA","Out Sample","Surabaya","K50000",18,52.797622834944
"220","ARIMA","Out Sample","Surabaya","K50000",19,52.0601329679029
"221","ARIMA","Out Sample","Surabaya","K50000",20,50.6498082746922
"222","ARIMA","Out Sample","Surabaya","K50000",21,50.9263699478821
"223","ARIMA","Out Sample","Surabaya","K50000",22,49.3948361117866
"224","ARIMA","Out Sample","Surabaya","K50000",23,48.3074519488019
"225","ARIMA","Out Sample","Surabaya","K50000",24,47.5642239241018
"226","ARIMA","In Sample","Surabaya","K20000",0,97.969540385013
"227","ARIMA","Out Sample","Surabaya","K20000",1,634.947324304573
"228","ARIMA","Out Sample","Surabaya","K20000",2,345.122198081682
"229","ARIMA","Out Sample","Surabaya","K20000",3,244.403456419803
"230","ARIMA","Out Sample","Surabaya","K20000",4,234.628827492059
"231","ARIMA","Out Sample","Surabaya","K20000",5,206.486771598828
"232","ARIMA","Out Sample","Surabaya","K20000",6,174.792326517757
"233","ARIMA","Out Sample","Surabaya","K20000",7,151.984083284507
"234","ARIMA","Out Sample","Surabaya","K20000",8,136.109974674449
"235","ARIMA","Out Sample","Surabaya","K20000",9,127.732743934325
"236","ARIMA","Out Sample","Surabaya","K20000",10,117.157451592196
"237","ARIMA","Out Sample","Surabaya","K20000",11,581.392821159931
"238","ARIMA","Out Sample","Surabaya","K20000",12,795.52669423155
"239","ARIMA","Out Sample","Surabaya","K20000",13,804.57212507173
"240","ARIMA","Out Sample","Surabaya","K20000",14,769.240962342996
"241","ARIMA","Out Sample","Surabaya","K20000",15,769.478630114548
"242","ARIMA","Out Sample","Surabaya","K20000",16,735.36269630024
"243","ARIMA","Out Sample","Surabaya","K20000",17,700.649672404972
"244","ARIMA","Out Sample","Surabaya","K20000",18,664.108917604833
"245","ARIMA","Out Sample","Surabaya","K20000",19,644.353971764216
"246","ARIMA","Out Sample","Surabaya","K20000",20,682.079044045782
"247","ARIMA","Out Sample","Surabaya","K20000",21,652.952060435013
"248","ARIMA","Out Sample","Surabaya","K20000",22,628.111987451905
"249","ARIMA","Out Sample","Surabaya","K20000",23,840.898549359476
"250","ARIMA","Out Sample","Surabaya","K20000",24,838.699116463413
"251","ARIMA","In Sample","Surabaya","K10000",0,164.968395936048
"252","ARIMA","Out Sample","Surabaya","K10000",1,587.46776719089
"253","ARIMA","Out Sample","Surabaya","K10000",2,304.54967208176
"254","ARIMA","Out Sample","Surabaya","K10000",3,208.143163271809
"255","ARIMA","Out Sample","Surabaya","K10000",4,167.472830257558
"256","ARIMA","Out Sample","Surabaya","K10000",5,135.341930672458
"257","ARIMA","Out Sample","Surabaya","K10000",6,116.939517469756
"258","ARIMA","Out Sample","Surabaya","K10000",7,107.390089068466
