,Model,InOutSample,Location,Denomination,fh,MAPE
369,ARIMAX,Out Sample,Jakarta,20000,18,894.7335749
370,ARIMAX,Out Sample,Jakarta,20000,19,847.9109467
371,ARIMAX,Out Sample,Jakarta,20000,20,805.5555307
372,ARIMAX,Out Sample,Jakarta,20000,21,768.0713969
373,ARIMAX,Out Sample,Jakarta,20000,22,736.5403239
374,ARIMAX,Out Sample,Jakarta,20000,23,706.0325754
375,ARIMAX,Out Sample,Jakarta,20000,24,679.8791332
376,ARIMAX,In Sample,Jakarta,10000,0,95.90448643
377,ARIMAX,Out Sample,Jakarta,10000,1,40.44755073
378,ARIMAX,Out Sample,Jakarta,10000,2,50.7963783
379,ARIMAX,Out Sample,Jakarta,10000,3,1225.719857
380,ARIMAX,Out Sample,Jakarta,10000,4,1247.072097
381,ARIMAX,Out Sample,Jakarta,10000,5,1039.372891
382,ARIMAX,Out Sample,Jakarta,10000,6,888.0464481
383,ARIMAX,Out Sample,Jakarta,10000,7,761.6332726
384,ARIMAX,Out Sample,Jakarta,10000,8,676.3084629
385,ARIMAX,Out Sample,Jakarta,10000,9,603.3152633
386,ARIMAX,Out Sample,Jakarta,10000,10,549.5317462
387,ARIMAX,Out Sample,Jakarta,10000,11,501.1844856
388,ARIMAX,Out Sample,Jakarta,10000,12,463.8743024
389,ARIMAX,Out Sample,Jakarta,10000,13,433.9700681
390,ARIMAX,Out Sample,Jakarta,10000,14,403.4162365
391,ARIMAX,Out Sample,Jakarta,10000,15,597.6026915
392,ARIMAX,Out Sample,Jakarta,10000,16,618.0528425
393,ARIMAX,Out Sample,Jakarta,10000,17,591.5786489
394,ARIMAX,Out Sample,Jakarta,10000,18,564.7608851
395,ARIMAX,Out Sample,Jakarta,10000,19,535.1733956
396,ARIMAX,Out Sample,Jakarta,10000,20,508.6977885
397,ARIMAX,Out Sample,Jakarta,10000,21,486.4325937
398,ARIMAX,Out Sample,Jakarta,10000,22,468.0522847
399,ARIMAX,Out Sample,Jakarta,10000,23,449.3565102
400,ARIMAX,Out Sample,Jakarta,10000,24,433.4990544
401,ARIMAX,In Sample,Jakarta,5000,0,92.12131614
402,ARIMAX,Out Sample,Jakarta,5000,1,49.47151791
403,ARIMAX,Out Sample,Jakarta,5000,2,43.49814765
404,ARIMAX,Out Sample,Jakarta,5000,3,388.2214804
405,ARIMAX,Out Sample,Jakarta,5000,4,471.8467832
406,ARIMAX,Out Sample,Jakarta,5000,5,443.9053128
407,ARIMAX,Out Sample,Jakarta,5000,6,405.096535
408,ARIMAX,Out Sample,Jakarta,5000,7,350.5580788
409,ARIMAX,Out Sample,Jakarta,5000,8,320.9691251
410,ARIMAX,Out Sample,Jakarta,5000,9,289.9930479
411,ARIMAX,Out Sample,Jakarta,5000,10,270.4014184
412,ARIMAX,Out Sample,Jakarta,5000,11,248.3137317
413,ARIMAX,Out Sample,Jakarta,5000,12,233.4050439
414,ARIMAX,Out Sample,Jakarta,5000,13,221.9613534
415,ARIMAX,Out Sample,Jakarta,5000,14,210.5246053
416,ARIMAX,Out Sample,Jakarta,5000,15,285.8893339
417,ARIMAX,Out Sample,Jakarta,5000,16,302.1000603
418,ARIMAX,Out Sample,Jakarta,5000,17,297.1920143
419,ARIMAX,Out Sample,Jakarta,5000,18,284.8413829
420,ARIMAX,Out Sample,Jakarta,5000,19,270.2721452
421,ARIMAX,Out Sample,Jakarta,5000,20,258.7110095
422,ARIMAX,Out Sample,Jakarta,5000,21,247.138395
423,ARIMAX,Out Sample,Jakarta,5000,22,237.2918544
424,ARIMAX,Out Sample,Jakarta,5000,23,227.6338397
425,ARIMAX,Out Sample,Jakarta,5000,24,221.6381294
426,ARIMAX,In Sample,Jakarta,2000,0,2767.699499
427,ARIMAX,Out Sample,Jakarta,2000,1,247.0694643
428,ARIMAX,Out Sample,Jakarta,2000,2,383.6472378
429,ARIMAX,Out Sample,Jakarta,2000,3,392.0479692
430,ARIMAX,Out Sample,Jakarta,2000,4,387.1581276
431,ARIMAX,Out Sample,Jakarta,2000,5,349.0966741
432,ARIMAX,Out Sample,Jakarta,2000,6,302.4140315
433,ARIMAX,Out Sample,Jakarta,2000,7,281.5124809
434,ARIMAX,Out Sample,Jakarta,2000,8,248.9386489
435,ARIMAX,Out Sample,Jakarta,2000,9,227.453042
436,ARIMAX,Out Sample,Jakarta,2000,10,208.7258211
437,ARIMAX,Out Sample,Jakarta,2000,11,192.4863049
438,ARIMAX,Out Sample,Jakarta,2000,12,211.4842396
439,ARIMAX,Out Sample,Jakarta,2000,13,409.8592692
440,ARIMAX,Out Sample,Jakarta,2000,14,600.7747138
441,ARIMAX,Out Sample,Jakarta,2000,15,598.4888077
442,ARIMAX,Out Sample,Jakarta,2000,16,580.7956088
443,ARIMAX,Out Sample,Jakarta,2000,17,551.9973222
444,ARIMAX,Out Sample,Jakarta,2000,18,525.9990479
445,ARIMAX,Out Sample,Jakarta,2000,19,500.6186797
446,ARIMAX,Out Sample,Jakarta,2000,20,489.0741784
447,ARIMAX,Out Sample,Jakarta,2000,21,470.1099734
