"","Model","InOutSample","Location","Denomination","fh","MAPE","RMSE","linearmodel","nonlinearmodel","preprocessing","ID","DateExecuted"
"79","ARIMAX-Individual","Out Sample","Jakarta","K100000",3,3.59090648891724,260516.5987988,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"80","ARIMAX-Individual","Out Sample","Jakarta","K100000",4,4.83003830261876,341929.702334595,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"81","ARIMAX-Individual","Out Sample","Jakarta","K100000",5,8.6705776300161,1462921.53616034,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"82","ARIMAX-Individual","Out Sample","Jakarta","K100000",6,11.1720563696356,1378090.70646729,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"83","ARIMAX-Individual","Out Sample","Jakarta","K100000",7,10.6986572602915,1284356.8731894,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"84","ARIMAX-Individual","Out Sample","Jakarta","K100000",8,10.3904427849452,1212248.88011524,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"85","ARIMAX-Individual","Out Sample","Jakarta","K100000",9,10.3877067974881,1167807.3080663,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"86","ARIMAX-Individual","Out Sample","Jakarta","K100000",10,11.3427676454179,1213770.20146922,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"87","ARIMAX-Individual","Out Sample","Jakarta","K100000",11,16.1578263291123,3996956.13020793,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"88","ARIMAX-Individual","Out Sample","Jakarta","K100000",12,36.3422959461061,4584692.85364297,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"89","ARIMAX-Individual","Out Sample","Jakarta","K100000",13,36.5933981941,4426283.24071078,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"90","ARIMAX-Individual","Out Sample","Jakarta","K100000",14,36.1208896983354,4329571.17755543,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"91","ARIMAX-Individual","Out Sample","Jakarta","K100000",15,34.8511700432806,4192172.1712452,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"92","ARIMAX-Individual","Out Sample","Jakarta","K100000",16,33.9519487015761,4082761.73298557,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"93","ARIMAX-Individual","Out Sample","Jakarta","K100000",17,32.8488872541312,3980888.02489167,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"94","ARIMAX-Individual","Out Sample","Jakarta","K100000",18,32.5047779310639,3878023.26363026,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"95","ARIMAX-Individual","Out Sample","Jakarta","K100000",19,33.8438747559477,3808956.6491256,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"96","ARIMAX-Individual","Out Sample","Jakarta","K100000",20,33.5401057098071,3754286.5576246,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"97","ARIMAX-Individual","Out Sample","Jakarta","K100000",21,32.6539564015754,3670090.94958648,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"98","ARIMAX-Individual","Out Sample","Jakarta","K100000",22,31.6693397612796,3590021.42370113,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"99","ARIMAX-Individual","Out Sample","Jakarta","K100000",23,32.7406096024134,4196722.05378184,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"100","ARIMAX-Individual","Out Sample","Jakarta","K100000",24,37.132102684266,4262328.51092275,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"101","ARIMA-Individual","In Sample","Jakarta","K50000",0,51.6966666755939,1361776.5313087,"ARIMA(2,1,1)(2,0,1)[12]","","Box-Cox lambda 0.0831439886059002","ab8f1eeb729ac730c4b8cd6e818609ac",2020-10-21 13:52:50
"102","ARIMA-Individual","Out Sample","Jakarta","K50000",1,16.2372674448168,727750.527356106,"ARIMA(2,1,1)(2,0,1)[12]","","Box-Cox lambda 0.0831439886059002","ab8f1eeb729ac730c4b8cd6e818609ac",2020-10-21 13:52:50
"103","ARIMA-Individual","Out Sample","Jakarta","K50000",2,25.4894848189698,2571998.99706271,"ARIMA(2,1,1)(2,0,1)[12]","","Box-Cox lambda 0.0831439886059002","ab8f1eeb729ac730c4b8cd6e818609ac",2020-10-21 13:52:50
"104","ARIMA-Individual","Out Sample","Jakarta","K50000",3,75.5814794679455,3043930.09359586,"ARIMA(2,1,1)(2,0,1)[12]","","Box-Cox lambda 0.0831439886059002","ab8f1eeb729ac730c4b8cd6e818609ac",2020-10-21 13:52:50
"105","ARIMA-Individual","Out Sample","Jakarta","K50000",4,58.2749374216318,2638844.90812665,"ARIMA(2,1,1)(2,0,1)[12]","","Box-Cox lambda 0.0831439886059002","ab8f1eeb729ac730c4b8cd6e818609ac",2020-10-21 13:52:50
"106","ARIMA-Individual","Out Sample","Jakarta","K50000",5,50.0519259492574,2402721.0492769,"ARIMA(2,1,1)(2,0,1)[12]","","Box-Cox lambda 0.0831439886059002","ab8f1eeb729ac730c4b8cd6e818609ac",2020-10-21 13:52:50
"107","ARIMA-Individual","Out Sample","Jakarta","K50000",6,45.3512285905566,2226204.7215448,"ARIMA(2,1,1)(2,0,1)[12]","","Box-Cox lambda 0.0831439886059002","ab8f1eeb729ac730c4b8cd6e818609ac",2020-10-21 13:52:50
"108","ARIMA-Individual","Out Sample","Jakarta","K50000",7,41.5896024240067,2136573.3390331,"ARIMA(2,1,1)(2,0,1)[12]","","Box-Cox lambda 0.0831439886059002","ab8f1eeb729ac730c4b8cd6e818609ac",2020-10-21 13:52:50
"109","ARIMA-Individual","Out Sample","Jakarta","K50000",8,40.2342707614026,2031418.23064098,"ARIMA(2,1,1)(2,0,1)[12]","","Box-Cox lambda 0.0831439886059002","ab8f1eeb729ac730c4b8cd6e818609ac",2020-10-21 13:52:50
"110","ARIMA-Individual","Out Sample","Jakarta","K50000",9,37.9343498590103,1931671.19653877,"ARIMA(2,1,1)(2,0,1)[12]","","Box-Cox lambda 0.0831439886059002","ab8f1eeb729ac730c4b8cd6e818609ac",2020-10-21 13:52:50
