Flow,Model,Location,Denomination,linearmodel,Lags
Outflow,ARIMAX-Individual,Yogyakarta,K2000,"Regression with ARIMA(1,0,0)(2,0,0)[12] errors",1 12 13 24 25
Outflow,ARIMA-Individual,Yogyakarta,K1000,"ARIMA(1,0,1)(0,0,2)[12] with non-zero mean",1
Outflow,ARIMAX-Individual,Yogyakarta,K1000,"Regression with ARIMA(1,0,2)(2,0,0)[12] errors",1 12 13 24 25
Outflow,ARIMA-Individual,Jakarta,K100000,"ARIMA(0,1,2)(0,1,1)[12]",1 12 13
Outflow,ARIMAX-Individual,Jakarta,K100000,"Regression with ARIMA(5,0,0)(0,0,2)[12] errors",1 2 3 4 5
Outflow,ARIMA-Individual,Jakarta,K50000,"ARIMA(0,1,2)(0,1,2)[12]",1 12 13
Outflow,ARIMAX-Individual,Jakarta,K50000,"Regression with ARIMA(3,0,1)(1,0,0)[12] errors",1 2 3 12 13 14 15
Outflow,ARIMA-Individual,Jakarta,K20000,"ARIMA(1,0,1)(2,0,1)[12] with non-zero mean",1 12 13 24 25
Outflow,ARIMAX-Individual,Jakarta,K20000,"Regression with ARIMA(2,0,1)(1,0,0)[12] errors",1 2 12
Outflow,ARIMA-Individual,Jakarta,K10000,"ARIMA(0,1,3)(0,1,1)[12]",1 12 13
Outflow,ARIMAX-Individual,Jakarta,K10000,"Regression with ARIMA(5,0,0) errors",1 2 3 4 5
Outflow,ARIMA-Individual,Jakarta,K5000,"ARIMA(2,0,2)(1,0,0)[12] with non-zero mean",1 2 12 13 14
Outflow,ARIMAX-Individual,Jakarta,K5000,"Regression with ARIMA(2,0,2)(0,0,1)[12] errors",1 2
Outflow,ARIMA-Individual,Jakarta,K2000,"ARIMA(0,0,2)(2,0,0)[12] with non-zero mean",12 24
Outflow,ARIMAX-Individual,Jakarta,K2000,"Regression with ARIMA(2,0,0)(2,0,0)[12] errors",1 2 12 13 14 24 25 26
Outflow,ARIMA-Individual,Jakarta,K1000,"ARIMA(0,1,4)(0,1,0)[12]",1 12 13
Outflow,ARIMAX-Individual,Jakarta,K1000,"Regression with ARIMA(1,0,2)(2,0,0)[12] errors",1 12 13 24 25
Inflow,ARIMA-Individual,Bandung,K100000,"ARIMA(0,1,2)(0,1,2)[12]",1 12 13
Inflow,ARIMAX-Individual,Bandung,K100000,"Regression with ARIMA(3,0,1)(0,0,1)[12] errors",1 2 3
Inflow,ARIMA-Individual,Bandung,K50000,"ARIMA(2,1,1)(0,1,1)[12]",1 2 12 13
Inflow,ARIMAX-Individual,Bandung,K50000,"Regression with ARIMA(1,0,3)(0,0,1)[12] errors",1
Inflow,ARIMA-Individual,Bandung,K20000,"ARIMA(2,1,2)(2,1,0)[12]",1 3 12 13 15 36 37 39
Inflow,ARIMAX-Individual,Bandung,K20000,"Regression with ARIMA(1,0,2)(1,0,0)[12] errors",1 12
Inflow,ARIMA-Individual,Bandung,K10000,"ARIMA(2,1,0)(0,1,2)[12]",1 3 12 13 15
Inflow,ARIMAX-Individual,Bandung,K10000,"Regression with ARIMA(1,0,2)(2,0,0)[12] errors",1 12 13 24 25
Inflow,ARIMA-Individual,Bandung,K5000,"ARIMA(1,0,1)(1,0,0)[12] with non-zero mean",1 12 13
Inflow,ARIMAX-Individual,Bandung,K5000,"Regression with ARIMA(1,0,1)(1,0,0)[12] errors",1 12
Inflow,ARIMA-Individual,Bandung,K2000,"ARIMA(1,0,1)(1,0,0)[12] with zero mean",1 12 13
Inflow,ARIMAX-Individual,Bandung,K2000,"Regression with ARIMA(1,0,0)(0,0,1)[12] errors",1
Inflow,ARIMA-Individual,Bandung,K1000,"ARIMA(0,1,2)(0,1,0)[12]",1 12 13
Inflow,ARIMAX-Individual,Bandung,K1000,"Regression with ARIMA(1,0,2)(1,0,0)[12] errors",1 12
Inflow,ARIMA-Individual,Cirebon,K100000,"ARIMA(0,1,1)(0,1,2)[12]",1 12 13
Inflow,ARIMAX-Individual,Cirebon,K100000,"Regression with ARIMA(3,0,0)(0,0,1)[12] errors",1 2 3
Inflow,ARIMA-Individual,Cirebon,K50000,"ARIMA(0,1,2)(1,1,0)[12]",1 12 13
Inflow,ARIMAX-Individual,Cirebon,K50000,"Regression with ARIMA(1,0,1)(2,0,0)[12] errors",1 12 13 24 25
Inflow,ARIMA-Individual,Cirebon,K20000,"ARIMA(2,1,1)(0,1,1)[12]",1 2 12 13
Inflow,ARIMAX-Individual,Cirebon,K20000,"Regression with ARIMA(2,0,2)(1,0,0)[12] errors",1 2 12 13 14
Inflow,ARIMA-Individual,Cirebon,K10000,"ARIMA(1,1,2)(2,1,0)[12]",1 12 13 24 25
Inflow,ARIMAX-Individual,Cirebon,K10000,"Regression with ARIMA(5,0,1)(2,0,2)[12] errors",1 2 3 4 5 12 13 14 15 16 17 24 25 26 27 28 29
Inflow,ARIMA-Individual,Cirebon,K5000,"ARIMA(1,0,1)(0,0,2)[12] with non-zero mean",1
Inflow,ARIMAX-Individual,Cirebon,K5000,"Regression with ARIMA(4,0,2)(2,0,2)[12] errors",1 2 3 4 12 13 14 15 16 24 25 26 27 28
Inflow,ARIMA-Individual,Cirebon,K2000,"ARIMA(1,0,1)(1,0,0)[12] with non-zero mean",1 12 13
Inflow,ARIMAX-Individual,Cirebon,K2000,"Regression with ARIMA(1,0,0) errors",1
Inflow,ARIMA-Individual,Cirebon,K1000,"ARIMA(1,0,2)(1,0,1)[12] with non-zero mean",1 12 13
Inflow,ARIMAX-Individual,Cirebon,K1000,"Regression with ARIMA(1,0,3)(0,0,2)[12] errors",1
Inflow,ARIMA-Individual,Jember,K100000,"ARIMA(0,1,2)(0,1,2)[12]",1 12 13
Inflow,ARIMAX-Individual,Jember,K100000,"Regression with ARIMA(3,0,0)(1,0,0)[12] errors",1 2 3 12 13 14 15
Inflow,ARIMA-Individual,Jember,K50000,"ARIMA(0,1,2)(0,1,1)[12]",1 12 13
Inflow,ARIMAX-Individual,Jember,K50000,"Regression with ARIMA(4,0,0)(1,0,1)[12] errors",1 2 3 4 12 13 14 15 16
Inflow,ARIMA-Individual,Jember,K20000,"ARIMA(1,0,1)(1,0,0)[12] with non-zero mean",1 12 13
Inflow,ARIMAX-Individual,Jember,K20000,"Regression with ARIMA(2,0,2)(1,0,1)[12] errors",1 2 12 13 14
